"bike","route","length_meter", "length_birdway","duration_sec", "duration_time", "count_coords", "seconds per interval"
"1","1","649.8","378.52563671836606","106.3","1 min 46 sec","26","0.24459078080903104"
"1","2","506.4","382.83282514355255","88.2","1 min 28 sec","21","0.23809523809523808"
"2","1","687.5","380.75579366604586","114.5","1 min 55 sec","30","0.26200873362445415"
"2","2","530.9","450.4765097400634","86.9","1 min 27 sec","9","0.10356731875719216"
"3","1","526.3","284.49768213670075","86.1","1 min 26 sec","15","0.17421602787456447"
"3","2","441.8","346.93195652700945","90.5","1 min 31 sec","25","0.27624309392265195"
"4","1","1258.3","633.0958714936907","259.7","4 min 20 sec","47","0.1809780515979977"
"4","2","2306.9","494.1588880089928","464.9","7 min 45 sec","72","0.15487201548720156"
"5","1","887.8","392.87064701629805","158.3","2 min 38 sec","31","0.19583070120025267"
"5","2","427","327.29663708051","100.4","1 min 40 sec","21","0.2091633466135458"
"6","1","517.5","367.5863019976545","108.7","1 min 49 sec","28","0.2575896964121435"
"6","2","741.9","360.90469759852675","247.3","4 min 7 sec","42","0.16983420946219166"
"7","1","397.4","391.67834229486147","80.6","1 min 21 sec","8","0.09925558312655088"
"7","2","394.4","370.1774606506912","96.5","1 min 37 sec","16","0.16580310880829016"
"8","1","727.5","373.0562703217685","136.3","2 min 16 sec","34","0.2494497432134996"
"8","2","491.5","323.9595879366999","135.5","2 min 16 sec","23","0.16974169741697417"
"9","1","566.2","367.33648516753345","118","1 min 58 sec","19","0.16101694915254236"
"9","2","562.9","339.11081594055406","123.2","2 min 3 sec","17","0.137987012987013"
"10","1","905.8","383.8541067443158","180.2","3 min 0 sec","29","0.1609322974472808"
"10","2","853.2","386.0538218216066","171.3","2 min 51 sec","28","0.1634559252772913"
"11","1","532.4","316.33916732653256","87.1","1 min 27 sec","23","0.2640642939150402"
"11","2","423.3","316.7871656473539","70.8","1 min 11 sec","23","0.3248587570621469"
"12","1","385.6","328.76380164927536","88","1 min 28 sec","14","0.1590909090909091"
"12","2","981.9","338.8301186934083","170.7","2 min 51 sec","31","0.1816051552431166"
"13","1","894.2","351.5700776445894","146.3","2 min 26 sec","33","0.22556390977443608"
"13","2","379.1","307.769012607237","73.2","1 min 13 sec","17","0.23224043715846993"
"14","1","767.7","368.60269795317447","144","2 min 24 sec","32","0.2222222222222222"
"14","2","380","309.2663731387203","67.3","1 min 7 sec","14","0.20802377414561665"
"15","1","234.8","137.6282574992003","48.1","0 min 48 sec","14","0.2910602910602911"
"15","2","588.3","378.0578431202262","110.5","1 min 51 sec","25","0.22624434389140272"
"16","1","882.1","375.99692230193847","149.5","2 min 30 sec","37","0.24749163879598662"
"16","2","963.7","374.93419709034265","174.7","2 min 55 sec","42","0.24041213508872356"
"17","1","460.7","367.1550939827728","128.8","2 min 9 sec","16","0.12422360248447203"
"17","2","497.5","399.8706169622449","162.3","2 min 42 sec","19","0.11706715958102279"
"18","1","792.6","336.32077066860336","144.2","2 min 24 sec","38","0.2635228848821082"
"18","2","870.7","415.714227738411","154.9","2 min 35 sec","38","0.24531956100710134"
"19","1","471","324.9286355423261","101.8","1 min 42 sec","17","0.1669941060903733"
"19","2","529.1","333.219806258175","98.8","1 min 39 sec","25","0.25303643724696356"
"20","1","509.4","378.80237461250067","83.3","1 min 23 sec","14","0.16806722689075632"
"20","2","1328.2","329.54836652928736","233","3 min 53 sec","45","0.19313304721030042"
"21","1","619.9","400.37888391777767","134","2 min 14 sec","36","0.26865671641791045"
"21","2","469.7","378.95592944779804","128","2 min 8 sec","28","0.21875"
"22","1","938.2","371.1234806410538","197","3 min 17 sec","55","0.27918781725888325"
"22","2","855.8","372.63395568860966","158.8","2 min 39 sec","51","0.32115869017632237"
"23","1","432","316.8960294483315","88","1 min 28 sec","27","0.3068181818181818"
"23","2","555.7","379.2022680959953","106.7","1 min 47 sec","27","0.2530459231490159"
"24","1","481.9","328.2392080326172","95.3","1 min 35 sec","20","0.2098635886673662"
"24","2","2834.6","514.2313084330776","544.9","9 min 5 sec","80","0.14681592952835384"
"25","1","746.1","399.760453579179","174.1","2 min 54 sec","35","0.2010338885697875"
"25","2","522","382.39692105475217","102.4","1 min 42 sec","19","0.185546875"
"26","1","502.8","344.4489578905744","100.2","1 min 40 sec","15","0.1497005988023952"
"26","2","854.5","356.60422047227564","139.8","2 min 20 sec","24","0.17167381974248927"
"27","1","525.3","320.9939656945196","108.3","1 min 48 sec","37","0.34164358264081257"
"27","2","494.2","330.5602596625024","101","1 min 41 sec","21","0.2079207920792079"
"28","1","513.7","303.2105560449692","118.2","1 min 58 sec","22","0.18612521150592215"
"28","2","553.7","365.58552819361387","153.9","2 min 34 sec","21","0.1364522417153996"
"29","1","383.5","336.5121983107589","78.8","1 min 19 sec","15","0.1903553299492386"
"29","2","445.1","317.26244517814143","96.1","1 min 36 sec","27","0.2809573361082206"
"30","1","553.1","372.6772627348872","95.8","1 min 36 sec","19","0.19832985386221294"
"30","2","1343.4","306.2221877421392","234.1","3 min 54 sec","44","0.18795386586928664"
"31","1","400.2","264.42636726359274","100.3","1 min 40 sec","22","0.2193419740777667"
"31","2","623","265.5145200018443","157.3","2 min 37 sec","23","0.14621741894469167"
"32","1","601.3","406.3742493002496","98.4","1 min 38 sec","15","0.1524390243902439"
"32","2","556.5","397.9202024614811","91.1","1 min 31 sec","15","0.16465422612513722"
"33","1","539.2","397.1789517241341","109.6","1 min 50 sec","23","0.20985401459854017"
"33","2","508.6","322.1228460326882","83.5","1 min 24 sec","23","0.2754491017964072"
"34","1","429","306.8296349416611","152","2 min 32 sec","20","0.13157894736842105"
"34","2","726.3","370.5005967504474","183.5","3 min 4 sec","32","0.17438692098092642"
"35","1","848.9","313.16607299340893","148.2","2 min 28 sec","28","0.18893387314439947"
"35","2","658.6","366.5769329915863","199.9","3 min 20 sec","36","0.18009004502251125"
"36","1","1019.7","394.0151621421201","180.5","3 min 1 sec","34","0.1883656509695291"
"36","2","1210","285.6536312379859","234.7","3 min 55 sec","43","0.1832126118449084"
"37","1","460.4","348.58501026723735","110.6","1 min 51 sec","27","0.244122965641953"
"37","2","790.5","382.68803528610744","167.9","2 min 48 sec","30","0.1786777843954735"
"38","1","530","404.29929521954097","86.7","1 min 27 sec","13","0.14994232987312572"
"38","2","582.1","352.91983013411465","111.8","1 min 52 sec","13","0.11627906976744186"
"39","1","447.3","329.56891800378975","99.9","1 min 40 sec","24","0.24024024024024024"
"39","2","1409.5","357.53104878760365","240.6","4 min 1 sec","56","0.23275145469659186"
"40","1","452","305.5302480100959","113","1 min 53 sec","21","0.18584070796460178"
"40","2","658.5","386.27601372612753","177.4","2 min 57 sec","45","0.2536640360766629"
"41","1","483.6","269.12097242477995","79.1","1 min 19 sec","16","0.20227560050568902"
"41","2","527.1","393.77405468994436","97.6","1 min 38 sec","31","0.3176229508196721"
"42","1","850.9","383.8508359202243","212.1","3 min 32 sec","43","0.20273455917020275"
"42","2","539.7","382.0012191957055","163.5","2 min 44 sec","25","0.1529051987767584"
"43","1","590.5","384.51702981482475","96.6","1 min 37 sec","25","0.2587991718426501"
"43","2","594.3","365.8422959769223","108.9","1 min 49 sec","25","0.2295684113865932"
"44","1","601.3","329.22447824282756","126.4","2 min 6 sec","19","0.15031645569620253"
"44","2","665.6","393.0658797987248","111","1 min 51 sec","30","0.2702702702702703"
"45","1","503.6","304.97536134149055","86.4","1 min 26 sec","17","0.19675925925925924"
"45","2","1245.1","275.00508468052243","277.5","4 min 38 sec","44","0.15855855855855855"
"46","1","857.2","321.25695440589453","177.4","2 min 57 sec","32","0.18038331454340473"
"46","2","689.8","333.0847395468337","129.9","2 min 10 sec","32","0.24634334103156272"
"47","1","514.6","347.98746291239087","117.7","1 min 58 sec","20","0.16992353440951571"
"47","2","514","385.9889524727955","94.4","1 min 34 sec","22","0.2330508474576271"
"48","1","552.6","331.6262927300718","123.6","2 min 4 sec","18","0.14563106796116507"
"48","2","520.9","341.04269675815175","101.9","1 min 42 sec","26","0.2551521099116781"
"49","1","483.4","377.92765087653186","118.9","1 min 59 sec","18","0.15138772077375945"
"49","2","472.5","393.23670879594346","85.3","1 min 25 sec","21","0.24618991793669404"
"50","1","568.5","400.0581947978699","93","1 min 33 sec","11","0.11827956989247312"
"50","2","383.4","314.3265794840182","62.7","1 min 3 sec","11","0.17543859649122806"
"51","1","622.4","338.3614876306894","123","2 min 3 sec","27","0.21951219512195122"
"51","2","894.3","402.25135308396585","158.9","2 min 39 sec","46","0.289490245437382"
"52","1","440.5","346.231785173138","86.7","1 min 27 sec","19","0.21914648212226065"
"52","2","483","375.3419200565676","87.6","1 min 28 sec","23","0.2625570776255708"
"53","1","561.4","367.0418520966259","110.9","1 min 51 sec","25","0.22542831379621278"
"53","2","619.7","390.053938057131","123.5","2 min 4 sec","41","0.3319838056680162"
"54","1","769.9","357.48711406241455","235.4","3 min 55 sec","32","0.13593882752761258"
"54","2","583.9","362.4614964542606","178","2 min 58 sec","30","0.16853932584269662"
"55","1","997.5","364.19471819586323","188.1","3 min 8 sec","41","0.2179691653375864"
"55","2","415.2","345.774587104491","75.9","1 min 16 sec","22","0.28985507246376807"
"56","1","813","347.8242905360696","160.2","2 min 40 sec","37","0.23096129837702872"
"56","2","588.9","336.2506072794225","118.1","1 min 58 sec","21","0.17781541066892464"
"57","1","560.1","320.83772030627364","159.9","2 min 40 sec","36","0.225140712945591"
"57","2","844.8","396.4173241618947","187.5","3 min 8 sec","39","0.208"
"58","1","874.9","375.262452505667","143.2","2 min 23 sec","25","0.1745810055865922"
"58","2","1080.9","320.94050259998977","180.3","3 min 0 sec","44","0.24403771491957846"
"59","1","1288.7","338.06357984215146","232.7","3 min 53 sec","70","0.30081650193382037"
"59","2","582.3","346.2958451127863","102.2","1 min 42 sec","20","0.19569471624266144"
"60","1","471","352.2969758800729","97","1 min 37 sec","14","0.14432989690721648"
"60","2","535.8","378.73995625725115","113","1 min 53 sec","19","0.168141592920354"
"61","1","446.6","352.64592552953724","73.1","1 min 13 sec","18","0.24623803009575926"
"61","2","1440.4","378.24060615365124","235.7","3 min 56 sec","44","0.18667798048366568"
"62","1","496.1","354.12819623831496","81.2","1 min 21 sec","14","0.17241379310344826"
"62","2","634.4","317.0194634753359","109.6","1 min 50 sec","26","0.2372262773722628"
"63","1","1296","370.064482153608","261.6","4 min 22 sec","44","0.16819571865443422"
"63","2","508","392.7444399938117","97.5","1 min 38 sec","21","0.2153846153846154"
"64","1","571","364.2464719579751","111.6","1 min 52 sec","23","0.2060931899641577"
"64","2","471.4","348.7990694410454","126.3","2 min 6 sec","19","0.15043547110055425"
"65","1","478.1","289.6156260127404","177.8","2 min 58 sec","22","0.12373453318335208"
"65","2","447.9","356.09941401037315","104.8","1 min 45 sec","15","0.14312977099236643"
"66","1","763.1","331.81201989907913","158.4","2 min 38 sec","29","0.18308080808080807"
"66","2","1128.7","357.2909422142616","223.6","3 min 44 sec","41","0.18336314847942756"
"67","1","771.6","388.0578434570902","128.3","2 min 8 sec","38","0.2961808261886204"
"67","2","533.1","365.0294110703901","90.3","1 min 30 sec","33","0.3654485049833887"
"68","1","1129","538.1550725428101","227.8","3 min 48 sec","44","0.19315188762071991"
"68","2","506.4","406.84036486013395","195.1","3 min 15 sec","19","0.09738595592004101"
"69","1","540.2","394.82870799402633","88.4","1 min 28 sec","19","0.21493212669683256"
"69","2","512.8","372.4497917809682","130.3","2 min 10 sec","21","0.16116653875671527"
"70","1","1928.9","343.2396989946224","338.9","5 min 39 sec","30","0.08852168781351431"
"70","2","1672.7","391.64874278357485","414.2","6 min 54 sec","46","0.1110574601641719"
"71","1","485.3","297.13773992118155","109.1","1 min 49 sec","19","0.17415215398716774"
"71","2","746.5","398.2879627297454","133.2","2 min 13 sec","30","0.22522522522522526"
"72","1","458.7","356.9454088477289","75","1 min 15 sec","13","0.17333333333333334"
"72","2","554.2","337.13281147772926","90.7","1 min 31 sec","22","0.24255788313120175"
"73","1","495.8","348.938198027636","87.1","1 min 27 sec","20","0.2296211251435132"
"73","2","345.7","344.3972517944847","56.6","0 min 57 sec","11","0.19434628975265017"
"74","1","653","314.18512842914356","136.7","2 min 17 sec","22","0.16093635698610095"
"74","2","1115","397.9413171794206","209.1","3 min 29 sec","39","0.18651362984218078"
"75","1","487.7","372.6382497697414","99.4","1 min 39 sec","21","0.2112676056338028"
"75","2","464.4","326.0312251066594","78.6","1 min 19 sec","20","0.2544529262086514"
"76","1","704.1","315.59796768823617","127","2 min 7 sec","32","0.25196850393700787"
"76","2","489.2","395.8571873037117","112.6","1 min 53 sec","23","0.20426287744227353"
"77","1","1176.4","383.3414926874317","211.6","3 min 32 sec","42","0.19848771266540643"
"77","2","707.1","357.78559811823123","124.4","2 min 4 sec","41","0.3295819935691318"
"78","1","602.2","392.60896750837975","104.3","1 min 44 sec","28","0.2684563758389262"
"78","2","451.3","306.55847213196984","79.7","1 min 20 sec","19","0.2383939774153074"
"79","1","489.8","349.25818581558883","105.9","1 min 46 sec","20","0.18885741265344663"
"79","2","436.1","321.497948079236","71.4","1 min 11 sec","15","0.21008403361344535"
"80","1","478.2","354.7434691423529","82.5","1 min 23 sec","19","0.23030303030303031"
"80","2","339","334.22741940154094","86.9","1 min 27 sec","16","0.18411967779056385"
"81","1","444.9","340.4983646908483","88.7","1 min 29 sec","15","0.16910935738444194"
"81","2","663.7","398.35024058984845","129.3","2 min 9 sec","20","0.15467904098994584"
"82","1","1430.1","368.6723626054383","237.1","3 min 57 sec","64","0.26992830029523407"
"82","2","655.8","331.88861155903777","113.9","1 min 54 sec","37","0.32484635645302895"
"83","1","585.4","387.49709229980255","108.7","1 min 49 sec","22","0.20239190432382703"
"83","2","893.7","276.44333720817855","196.3","3 min 16 sec","40","0.20376974019358124"
"84","1","546","306.8402552917256","228.9","3 min 49 sec","14","0.06116207951070336"
"84","2","1021.4","396.1796953390706","200.2","3 min 20 sec","35","0.17482517482517484"
"85","1","665.4","360.36820037680036","162.9","2 min 43 sec","30","0.1841620626151013"
"85","2","579.2","324.19582300631214","114.2","1 min 54 sec","23","0.20140105078809106"
"86","1","582.7","284.33435414166166","143.9","2 min 24 sec","20","0.13898540653231412"
"86","2","437.3","334.49610377514887","86.9","1 min 27 sec","13","0.14959723820483314"
"87","1","476.2","311.59747280383544","113.7","1 min 54 sec","23","0.2022867194371152"
"87","2","966.1","362.7862713891612","162","2 min 42 sec","49","0.30246913580246915"
"88","1","566.6","337.9235469795184","98.4","1 min 38 sec","18","0.18292682926829268"
"88","2","533.8","412.2897229050065","87.3","1 min 27 sec","13","0.14891179839633448"
"89","1","395","309.4861579065273","64.6","1 min 5 sec","8","0.12383900928792571"
"89","2","455.9","343.1179155550045","74.6","1 min 15 sec","18","0.2412868632707775"
"90","1","623.9","372.81232253768866","140.8","2 min 21 sec","30","0.2130681818181818"
"90","2","446.5","313.70225100458293","96","1 min 36 sec","22","0.22916666666666666"
"91","1","956.6","343.62508691632627","267.8","4 min 28 sec","35","0.13069454817027631"
"91","2","735.9","338.12365856080413","125.2","2 min 5 sec","25","0.1996805111821086"
"92","1","1584.2","324.9901054121773","341.7","5 min 42 sec","41","0.11998829382499268"
"92","2","561.6","314.2323103709118","110.9","1 min 51 sec","13","0.11722272317403065"
"93","1","245.1","230.1366579058944","58.1","0 min 58 sec","10","0.1721170395869191"
"93","2","568.5","388.91104680471733","107.6","1 min 48 sec","27","0.2509293680297398"
"94","1","785.6","311.5752637899884","150.5","2 min 31 sec","31","0.2059800664451827"
"94","2","559.9","370.94641038952966","114.3","1 min 54 sec","23","0.20122484689413825"
"95","1","438.8","378.6976088469147","79.7","1 min 20 sec","25","0.31367628607277287"
"95","2","507.7","288.4299155133704","130.7","2 min 11 sec","20","0.15302218821729152"
"96","1","761.3","343.3304843854218","283.8","4 min 44 sec","36","0.12684989429175475"
"96","2","636.9","329.93895873912334","262.3","4 min 22 sec","35","0.13343499809378573"
"97","1","580.8","365.14365433020095","117.6","1 min 58 sec","21","0.17857142857142858"
"97","2","817.7","392.7823894191278","141.1","2 min 21 sec","32","0.22678951098511696"
"98","1","612.9","300.9937912314575","146.2","2 min 26 sec","23","0.1573187414500684"
"98","2","373.7","263.08690355856817","61.1","1 min 1 sec","20","0.3273322422258592"
"99","1","519.7","360.43578686073323","89.5","1 min 30 sec","26","0.2905027932960894"
"99","2","533.7","369.4762491857861","99.2","1 min 39 sec","20","0.20161290322580644"
"100","1","526.1","372.31525987581546","86.1","1 min 26 sec","14","0.1626016260162602"
"100","2","469","305.52356181611106","76.7","1 min 17 sec","11","0.14341590612777053"
"101","1","694.4","354.9738159599409","139.9","2 min 20 sec","19","0.13581129378127232"
"101","2","437.7","324.6395187711448","97.8","1 min 38 sec","11","0.11247443762781187"
"102","1","604","315.19030188576113","102","1 min 42 sec","26","0.2549019607843137"
"102","2","610.5","379.3801476294996","99.9","1 min 40 sec","21","0.2102102102102102"
"103","1","583.4","417.262014262743","115.6","1 min 56 sec","17","0.14705882352941177"
"103","2","476.4","389.05433318155355","90.3","1 min 30 sec","22","0.24363233665559247"
